,timestamp,count,in_china
11074,2016-09-12,116,1
11075,2016-09-12,116,1
11076,2016-09-12,117,1
11077,2016-09-12,114,1
11078,2016-09-12,115,1
11079,2016-09-12,116,1
11080,2016-09-12,115,1
11081,2016-09-12,117,1
11082,2016-09-12,114,1
11083,2016-09-12,107,1
11084,2016-09-12,117,1
11085,2016-09-12,117,1
11087,2016-09-12,122,1
11088,2016-09-12,120,1
11093,2016-09-12,140,1
11096,2016-09-12,99,1
11098,2016-09-12,114,1
11099,2016-09-12,122,1
11100,2016-09-12,95,1
11101,2016-09-12,120,1
11102,2016-09-12,119,1
11103,2016-09-12,85,1
11104,2016-09-12,120,1
11105,2016-09-12,120,1
11106,2016-09-12,121,1
11107,2016-09-12,122,1
11108,2016-09-12,83,1
11110,2016-09-12,82,1
11114,2016-09-12,116,1
11115,2016-09-12,124,1
11116,2016-09-12,121,1
11117,2016-09-12,122,1
11118,2016-09-12,112,1
11119,2016-09-12,118,1
11125,2016-09-12,111,1
11131,2016-09-12,104,1
11134,2016-09-12,131,1
11136,2016-09-12,120,1
11141,2016-09-12,104,1
11142,2016-09-12,127,1
11143,2016-09-12,90,1
11146,2016-09-12,110,1
11148,2016-09-12,129,1
11149,2016-09-12,111,1
11150,2016-09-12,99,1
11152,2016-09-12,120,1
11153,2016-09-12,119,1
11154,2016-09-12,115,1
11155,2016-09-12,117,1
11156,2016-09-12,118,1
11157,2016-09-12,118,1
11158,2016-09-12,115,1
11159,2016-09-12,119,1
11160,2016-09-12,120,1
11164,2016-09-12,114,1
11167,2016-09-12,117,1
11168,2016-09-12,83,1
11171,2016-09-12,95,1
11172,2016-09-12,89,1
11173,2016-09-12,97,1
11176,2016-09-12,112,1
11177,2016-09-12,100,1
11180,2016-09-12,110,1
11181,2016-09-12,110,1
11182,2016-09-12,111,1
11185,2016-09-12,121,1
11186,2016-09-12,126,1
11187,2016-09-12,126,1
11188,2016-09-12,122,1
11190,2016-09-12,123,1
11191,2016-09-12,129,1
11192,2016-09-12,134,1
11193,2016-09-12,126,1
11199,2016-09-12,114,1
11200,2016-09-12,114,1
11201,2016-09-12,115,1
11203,2016-09-12,120,1
11204,2016-09-12,115,1
11205,2016-09-12,116,1
11206,2016-09-12,115,1
11207,2016-09-12,114,1
11208,2016-09-12,114,1
11209,2016-09-12,114,1
11210,2016-09-12,115,1
11211,2016-09-12,117,1
11212,2016-09-12,116,1
11213,2016-09-12,109,1
11217,2016-09-12,121,1
11219,2016-09-12,94,1
11220,2016-09-12,86,1
11222,2016-09-12,118,1
11225,2016-09-12,111,1
11228,2016-09-12,109,1
11229,2016-09-12,113,1
11230,2016-09-12,99,1
11234,2016-09-12,104,1
11236,2016-09-12,105,1
11237,2016-09-12,103,1
11239,2016-09-12,107,1
11240,2016-09-12,110,1
11241,2016-09-12,109,1
11242,2016-09-12,111,1
11243,2016-09-12,113,1
11244,2016-09-12,112,1
11245,2016-09-12,107,1
11246,2016-09-12,113,1
11247,2016-09-12,113,1
11248,2016-09-12,113,1
11249,2016-09-12,113,1
11250,2016-09-12,116,1
11251,2016-09-12,109,1
11252,2016-09-12,109,1
11253,2016-09-12,118,1
11255,2016-09-12,82,1
11265,2016-09-13,89,1
11269,2016-09-13,102,1
11274,2016-09-13,97,1
11276,2016-09-13,91,1
11278,2016-09-13,87,1
11280,2016-09-13,98,1
11284,2016-09-13,143,1
11285,2016-09-13,109,1
11286,2016-09-13,117,1
11287,2016-09-13,95,1
11288,2016-09-13,106,1
11289,2016-09-13,115,1
11290,2016-09-13,84,1
11291,2016-09-13,97,1
11292,2016-09-13,96,1
11293,2016-09-13,94,1
11296,2016-09-13,109,1
11297,2016-09-13,107,1
11298,2016-09-13,116,1
11299,2016-09-13,95,1
11303,2016-09-13,96,1
11305,2016-09-13,106,1
11309,2016-09-13,112,1
11310,2016-09-13,112,1
11322,2016-09-13,107,1
11323,2016-09-13,116,1
11324,2016-09-13,112,1
11326,2016-09-13,113,1
11327,2016-09-13,106,1
11328,2016-09-13,116,1
11329,2016-09-13,97,1
11330,2016-09-13,97,1
11331,2016-09-13,97,1
11332,2016-09-13,99,1
11333,2016-09-13,111,1
11334,2016-09-13,110,1
11335,2016-09-13,113,1
11336,2016-09-13,82,1
11340,2016-09-13,102,1
11341,2016-09-13,110,1
11342,2016-09-13,117,1
11343,2016-09-13,112,1
11344,2016-09-13,114,1
11349,2016-09-13,109,1
11350,2016-09-13,112,1
11352,2016-09-13,121,1
11353,2016-09-13,115,1
11354,2016-09-13,115,1
11358,2016-09-13,111,1
11360,2016-09-13,112,1
11362,2016-09-14,114,1
11363,2016-09-14,110,1
11364,2016-09-14,112,1
11365,2016-09-14,113,1
11366,2016-09-14,113,1
11367,2016-09-14,114,1
11368,2016-09-14,112,1
11369,2016-09-14,110,1
11370,2016-09-14,90,1
11373,2016-09-14,91,1
11374,2016-09-14,93,1
11375,2016-09-14,100,1
11376,2016-09-14,101,1
11377,2016-09-14,104,1
11379,2016-09-14,124,1
11380,2016-09-14,119,1
11381,2016-09-14,102,1
11383,2016-09-14,120,1
11384,2016-09-14,117,1
11385,2016-09-14,115,1
11386,2016-09-14,102,1
11387,2016-09-14,117,1
11388,2016-09-14,118,1
11389,2016-09-14,117,1
11390,2016-09-14,81,1
11393,2016-09-14,122,1
11394,2016-09-14,113,1
11395,2016-09-14,109,1
11397,2016-09-14,102,1
11404,2016-09-14,110,1
11405,2016-09-14,91,1
11407,2016-09-14,110,1
11408,2016-09-14,109,1
11416,2016-09-14,117,1
11417,2016-09-14,81,1
11420,2016-09-14,103,1
11428,2016-09-14,117,1
11444,2016-09-14,93,1
11447,2016-09-14,140,1
11456,2016-09-14,93,1
11457,2016-09-14,84,1
11459,2016-09-14,96,1
